Code,Collector,Number,Date,Bag,T3,T4,GC
476,JK,301,4/7/2021,24,149.8,92.7,287.9
477,JK,302,4/7/2021,24,164.5,85.8,167.6
478,JK,305,4/8/2021,24,79.4,54.6,197
479,JK,307,4/9/2021,24,36.7,34.6,56.7
480,JK,308,4/9/2021,24,43.7,32,105.7
481,JK,309,4/10/2021,24,121,52.4,124.8
482,JK,311,4/14/2021,24,19.5,36.5,68.4
483,TC,01,5/3/2021,24,65.2,50.9,30.8
484,TC,02,5/3/2021,24,286.9,215.3,116.8
485,TC,01,5/17/2021,24,76.8,41.7,150.2
486,TC,03,5/17/2021,24,62.6,43.9,47.9
487,TC,05,5/17/2021,24,47.7,36.9,14.3
488,TC,08,5/17/2021,24,48.7,76.6,63.4
489,TC,01,5/18/2021,24,86.3,124.5,41.5
490,TC,03,5/18/2021,24,15.2,21.8,7.6
491,TC,04,5/18/2021,24,110.5,204.5,268.9
492,TC,04,5/19/2021,24,41.4,84.6,144.3
493,JK,350,5/21/2021,21,126.1,128,46.6
494,JK,351,5/21/2021,21,32.5,138.4,111.7
495,JK,352,5/22/2021,21,326.7,443.8,148.6
496,JK,353,5/24/2021,21,887.9,430.5,26.9
497,JK,354,5/25/2021,21,46.1,61.6,45.2
498,JK,356,5/25/2021,21,93.3,105.8,136.9
499,JK,357,5/27/2021,21,60.7,82.1,58.1
500,JK,359,5/31/2021,21,216.4,254.5,57.3
501,JK,360,6/1/2021,21,213,97.4,303.7
502,JK,361,6/2/2021,21,146.7,175.5,290.1
503,JK,362,6/3/2021,21,147.7,104.2,117.5
504,JK,363,6/9/2021,21,87.6,87.5,48.6
505,JK,364,6/9/2021,21,35.5,33.5,28.6
506,JK,366,6/12/2021,21,72.6,58.2,290.8
507,JK,365,6/9/2021,21,59.9,61.4,145.5
508,JK,367,6/13/2021,21,135.4,187.6,94.1
509,JK,369,6/13/2021,21,131.8,75.3,135.3
510,JK,371,6/14/2021,21,121.2,151,184.5
511,TC,03,7/12/2021,21,138.9,167.1,89.4
512,TC,04,7/12/2021,21,252.6,216,44.8
513,JK,724,12/9/2021,19,134.1,358.2,250.9
514,JK,725,12/12/2021,19,62.9,124,28.2
515,JK,726,12/15/2021,19,118.4,62.7,468.7
516,JK,727,12/18/2021,19,61,39.4,168.4
517,JK,728,12/18/2021,19,196.1,122.3,561.9
518,JK,729,12/19/2021,19,63.8,71.6,397.3
519,JK,730,12/21/2021,19,81.5,34.1,714.2
520,JK,731,12/28/2021,19,71.4,92,844.1
521,JK,732,1/3/2022,19,81.5,149.8,48.9
522,JK,737,1/7/2022,19,183.3,148.9,283.7
523,JK,738,1/10/2022,19,50.9,53,43.1
524,JK,739,1/10/2022,19,41.2,58.9,39.3
525,JK,742,1/14/2022,19,158.9,232.6,298.1
526,JK,743,1/15/2022,19,208.8,237.1,48.5
527,JK,744,1/17/2022,19,48.2,68.9,142.2
528,JK,745,1/19/2022,19,1142.5,364.9,248.8
529,JK,746,1/19/2022,19,55.2,160.7,144.6
530,JK,747,1/20/2022,19,121.1,213.6,730.1
531,JK,748,1/21/2022,19,72.1,96.7,80.3
532,JK,749,1/27/2022,19,128.2,791.5,246.5
533,JK,634,10/7/2021,14,67.3,40.8,218
534,JK,635,10/8/2021,14,109,140.2,140.7
535,JK,636,10/8/2021,14,110.4,181.5,86.3
536,JK,637,10/9/2021,14,116.2,84.7,211.1
537,JK,638,10/9/2021,14,346.4,278.8,89.9
538,JK,639,10/9/2021,14,100.7,210.5,147.9
539,JK,640,10/9/2021,14,265.3,151,112.6
540,JK,641,10/9/2021,14,89.4,65.6,99.2
541,JK,642,10/9/2021,14,65.6,89.4,154.4
542,JK,643,10/9/2021,14,78.1,37.4,111.6
543,JK,644,10/9/2021,14,111,103.4,16.5
544,JK,645,10/9/2021,14,89.4,136.2,114.1
545,JK,646,10/9/2021,14,30.6,36.1,439.3
546,JK,647,10/10/2021,14,74.2,133.9,78.9
547,JK,648,10/18/2021,14,136.8,170,326.2
548,JK,649,10/9/2021,14,79.5,68.8,70.7
549,JK,650,10/9/2021,14,225.6,461.9,129.7
550,JK,651,10/9/2021,14,78.5,134.3,75.4
551,JK,652,10/9/2021,14,130.6,190.4,47.8
552,JK,653,10/9/2021,14,15.6,22.6,7.7
553,TC,02,4/5/2022,20,238.6,269.5,151.3
554,JK,750,1/27/2022,20,565.2,502.5,147
555,JK,751,1/28/2022,20,189.6,133,422.4
556,JK,752,2/2/2022,20,143.6,173,45.5
557,JK,753,2/9/2022,20,386.2,33.7,395.3
558,JK,754,2/10/2022,20,877.2,232.7,187.3
559,JK,755,2/11/2022,20,96.6,79.1,160.4
560,JK,757,2/24/2022,20,294.3,127.7,63.1
561,JK,760,3/1/2022,20,38.2,51.7,118.9
562,JK,764,3/12/2022,20,37.8,41.3,117.6
563,JK,765,3/13/2022,20,81.4,169.8,271.6
564,JK,766,3/13/2022,20,81.9,116.9,143.3
565,JK,767,3/16/2022,20,40.5,55.6,48.5
566,JK,768,3/16/2022,20,98.7,188.8,99.8
567,JK,769,3/24/2022,20,66.8,71.7,30.3
568,JK,770,3/25/2022,20,61.8,89,52.4
569,JK,774,3/28/2022,20,62.5,100,88
570,JK,775,3/31/2022,20,24.4,28.7,174.6
571,JK,776,4/3/2022,20,12.8,37.5,50.8
572,JK,777,4/3/2022,20,18.1,36.2,64
573,JK,674,10/27/2021,16,0.7,35.7,52.6
