SampleID,Individual
S21_3169,SFCoy128
S21_3302,SFCoy128
S21_3340,SFCoy128
S21_3339,SFCoy128
S21_3351,SFCoy128
S21_3357,SFCoy128
S21_3360,SFCoy128
S21_3367,SFCoy128
S21_4921,SFCoy128
S21_4925,SFCoy128
S21_4941,SFCoy128
S21_5000,SFCoy128
S21_5089,SFCoy128
S21_5105,SFCoy128
S21_5104,SFCoy128
S21_5108,SFCoy128
S21_3384,SFCoy129
S21_3395,SFCoy129
S21_3405,SFCoy129
S21_3423,SFCoy129
S21_5015,SFCoy129
S21_4916,SFCoy129
S21_4915,SFCoy129
S21_4922,SFCoy129
S21_4997,SFCoy129
S21_5002,SFCoy129
S21_5008,SFCoy129
S20_3637,SFCoy13
S21_0072,SFCoy13
S21_0071,SFCoy13
S21_0104,SFCoy13
S21_0107,SFCoy13
S21_0121,SFCoy13
S21_0122,SFCoy13
S20_3656,SFCoy13
S20_3655,SFCoy13
S20_3654,SFCoy13
S20_3652,SFCoy13
S20_3747,SFCoy13
S21_1092,SFCoy13
S21_1090,SFCoy13
S21_1109,SFCoy13
S21_1107,SFCoy13
S21_1195,SFCoy13
S21_1307,SFCoy13
S21_1306,SFCoy13
S21_2065,SFCoy13
S21_2051,SFCoy13
S21_2371,SFCoy13
S21_2369,SFCoy13
S21_3253,SFCoy13
S22_0855,SFCoy13
S22_0859,SFCoy13
S24_1423,SFCoy13
S21_2405,SFCoy133
S21_3185,SFCoy135
S21_3191,SFCoy137
S20_3640,SFCoy14
S21_0066,SFCoy14
S21_0086,SFCoy14
S21_0115,SFCoy14
S20_3664,SFCoy14
S20_3742,SFCoy14
S20_3741,SFCoy14
S20_3740,SFCoy14
S21_0150,SFCoy14
S20_3818,SFCoy14
S21_0009,SFCoy14
S21_0172,SFCoy14
S21_0181,SFCoy14
S21_0180,SFCoy14
S21_0176,SFCoy14
S21_0032,SFCoy14
S21_0031,SFCoy14
S21_0062,SFCoy14
S21_1126,SFCoy14
S21_1138,SFCoy14
S21_1139,SFCoy14
S21_1166,SFCoy14
S21_1238,SFCoy14
S21_1244,SFCoy14
S21_1243,SFCoy14
S21_1301,SFCoy14
S21_2068,SFCoy14
S21_3295,SFCoy14
S21_4987,SFCoy14
S22_1010,SFCoy14
S21_3238,SFCoy142
S21_3246,SFCoy143
S21_5027,SFCoy143
S21_3252,SFCoy144
S22_0874,SFCoy144
S21_3282,SFCoy148
S18_1206,SFCoy15
S18_1211,SFCoy15
S18_1187,SFCoy15
S19_8768,SFCoy15
S21_3421,SFCoy151
S21_4917,SFCoy152
S21_5012,SFCoy155
S21_5030,SFCoy157
S21_5026,SFCoy157
S20_3648,SFCoy16
S21_1204,SFCoy16
S21_5080,SFCoy161
S20_3806,SFCoy162
S21_5082,SFCoy162
S22_0853,SFCoy167
S22_0988,SFCoy169
S20_3650,SFCoy17
S21_0140,SFCoy17
S20_3726,SFCoy17
S21_0145,SFCoy17
S21_0146,SFCoy17
S20_3754,SFCoy17
S20_3753,SFCoy17
S20_3793,SFCoy17
S20_3823,SFCoy17
S20_3821,SFCoy17
S21_0023,SFCoy17
S21_0169,SFCoy17
S21_0182,SFCoy17
S21_0173,SFCoy17
S21_1085,SFCoy17
S21_0035,SFCoy17
S21_0038,SFCoy17
S21_0059,SFCoy17
S22_1001,SFCoy170
S23_0165,SFCoy170
S21_3394,SFCoy174
S21_4940,SFCoy174
S22_0873,SFCoy174
S20_3735,SFCoy175
S21_2378,SFCoy178
S19_8772,SFCoy18
S18_1210,SFCoy18
S18_1428,SFCoy18
S18_1433,SFCoy18
S18_1196,SFCoy181
S18_1425,SFCoy181
S21_1202,SFCoy181
S19_8741,SFCoy185
S19_8742,SFCoy186
S19_8743,SFCoy187
S19_8744,SFCoy188
S19_8745,SFCoy189
S19_8746,SFCoy190
S19_8747,SFCoy191
S19_8748,SFCoy192
S19_8749,SFCoy193
S19_8750,SFCoy194
S19_8751,SFCoy195
S19_8752,SFCoy196
S19_8753,SFCoy197
S19_8754,SFCoy198
S19_8755,SFCoy199
S18_1424,SFCoy2
S18_1432,SFCoy2
S19_5650,SFCoy2
S19_5653,SFCoy2
S19_5652,SFCoy2
S22_3045,SFCoy2
S20_3669,SFCoy20
S20_3668,SFCoy20
S20_3755,SFCoy20
S19_8756,SFCoy200
S19_8757,SFCoy201
S19_8758,SFCoy202
S19_8759,SFCoy203
S19_8760,SFCoy204
S19_8761,SFCoy205
S19_8763,SFCoy206
S19_8764,SFCoy207
S19_8765,SFCoy208
S19_8766,SFCoy209
S20_3671,SFCoy21
S19_8767,SFCoy210
S19_8769,SFCoy211
S19_8770,SFCoy212
S19_8771,SFCoy213
S19_8773,SFCoy214
S19_8774,SFCoy215
S19_8775,SFCoy216
S19_8776,SFCoy217
S19_8777,SFCoy218
S19_8778,SFCoy219
S19_8779,SFCoy220
S19_8781,SFCoy221
S19_8782,SFCoy222
S19_8783,SFCoy223
S19_8784,SFCoy224
S19_8787,SFCoy225
S19_8788,SFCoy226
S21_0161,SFCoy230
S21_1079,SFCoy231
S21_1080,SFCoy232
S21_1205,SFCoy232
S21_1081,SFCoy233
S21_1082,SFCoy234
S21_1087,SFCoy235
S21_1201,SFCoy236
S21_1203,SFCoy237
S21_1207,SFCoy238
S19_8786,SFCoy24
S19_5663,SFCoy24
S19_5665,SFCoy24
S20_3638,SFCoy24
