SampleID,Replicate,FieldID,Site,Area,Initials,Year,Month,Day,Condition,Lat,Long,Geno.Sp,Cytb_Sp
S20_3750,None,20200805-TC-02,LEND,Urban,TC,2020,8,5,<2 days,37.78621,-122.49984,NA,NA
S20_3751,None,20200805-TC-03,LAGU,Urban,TC,2020,8,5,not fresh,37.75097,-122.46059,NA,NA
S20_3752,None,20200805-TC-04,LAGU,Urban,TC,2020,8,5,<2 days,37.75108,-122.46062,coyote,NA
S20_3753,None,20200805-TC-05,LAGU,Urban,TC,2020,8,5,<2 days,37.75036,-122.46026,coyote,NA
S20_3754,None,20200805-TC-06,LAGU,Urban,TC,2020,8,5,fresh,37.74898,-122.45819,coyote,NA
S20_3755,None,20200810-TC-01,OLYM,Urban,TC,2020,8,10,fresh,37.70485,-122.48852,coyote,NA
S20_3756,None,20200810-TC-02,OLYM,Urban,TC,2020,8,10,fresh,37.70419,-122.49011,coyote,NA
S20_3757,None,20200810-TC-03,OLYM,Urban,TC,2020,8,10,<2 days,37.70404,-122.48923,coyote,NA
S20_3758,None,20200810-TC-04,OLYM,Urban,TC,2020,8,10,fresh,37.70403,-122.48901,coyote,NA
S20_3759,None,20200810-TC-05,OLYM,Urban,TC,2020,8,10,fresh,37.70428,-122.48829,coyote,NA
S20_3760,None,20200810-TC-06,OLYM,Urban,TC,2020,8,10,fresh,37.70363,-122.48915,NA,NA
S20_3761,None,20200810-TC-07,OLYM,Urban,TC,2020,8,10,fresh,37.70365,-122.48968,NA,NA
S20_3762,None,20200810-TC-08,GLEN,Urban,TC,2020,8,10,<2 days,37.73874,-122.44007,NA,coyote
S20_3763,None,20200810-TC-09,GLEN,Urban,TC,2020,8,10,fresh,37.74283,-122.4428,NA,coyote
S20_3764,None,20200810-TC-10,GLEN,Urban,TC,2020,8,10,not fresh,37.74288,-122.44273,NA,fail
S20_3765,None,20200810-TC-11,GLEN,Urban,TC,2020,8,10,fresh,37.7428,-122.4425,NA,coyote
